A-n32-k5.out;0.23s;784.00;784;784;0.0%;0.0%;0.0%
A-n33-k5.out;0.25s;661.00;661;661;0.0%;0.0%;0.0%
A-n33-k6.out;0.26s;742.60;742;743;0.0808625%;0.0%;0.134771%
A-n34-k5.out;0.26s;778.00;778;778;0.0%;0.0%;0.0%
A-n36-k5.out;0.33s;806.20;799;815;0.901126%;0.0%;2.0025%
A-n37-k5.out;0.29s;669.00;669;669;0.0%;0.0%;0.0%
A-n37-k6.out;0.31s;949.40;949;953;0.0421496%;0.0%;0.421496%
A-n38-k5.out;0.30s;730.00;730;730;0.0%;0.0%;0.0%
A-n39-k5.out;0.32s;822.30;822;825;0.0364964%;0.0%;0.364964%
A-n39-k6.out;0.31s;833.10;833;834;0.252708%;0.240674%;0.361011%
A-n44-k6.out;0.36s;940.10;937;947;0.330843%;0.0%;1.06724%
A-n45-k6.out;0.36s;955.40;953;959;1.20763%;0.95339%;1.58898%
A-n45-k7.out;0.57s;1146.40;1146;1150;0.034904%;0.0%;0.34904%
A-n46-k7.out;0.32s;914.00;914;914;0.0%;0.0%;0.0%
A-n48-k7.out;0.44s;1073.00;1073;1073;0.0%;0.0%;0.0%
A-n53-k7.out;0.39s;1017.00;1017;1017;0.693069%;0.693069%;0.693069%
A-n54-k7.out;0.56s;1168.80;1167;1177;0.154242%;0.0%;0.856898%
A-n55-k9.out;0.38s;1074.00;1074;1074;0.0931966%;0.0931966%;0.0931966%
A-n60-k9.out;0.59s;1358.40;1358;1359;0.324963%;0.295421%;0.369276%
A-n61-k9.out;0.64s;1036.20;1035;1037;0.212766%;0.0967118%;0.290135%
A-n62-k8.out;0.71s;1303.60;1298;1310;1.21118%;0.776398%;1.70807%
A-n63-k10.out;0.73s;1321.00;1318;1325;0.532725%;0.304414%;0.837139%
A-n63-k9.out;0.69s;1629.20;1627;1637;0.816832%;0.680693%;1.2995%
A-n64-k9.out;0.83s;1419.50;1414;1425;1.32049%;0.927909%;1.71306%
A-n65-k9.out;0.50s;1181.90;1177;1184;0.672913%;0.255537%;0.851789%
A-n69-k9.out;0.82s;1167.10;1159;1171;0.698878%;0.0%;1.03538%
A-n80-k10.out;1.51s;1786.60;1766;1798;1.33863%;0.170164%;1.98525%
B-n31-k5.out;0.25s;672.00;672;672;0.0%;0.0%;0.0%
B-n34-k5.out;0.26s;788.00;788;788;0.0%;0.0%;0.0%
B-n35-k5.out;0.26s;955.00;955;955;0.0%;0.0%;0.0%
B-n38-k6.out;0.31s;805.00;805;805;0.0%;0.0%;0.0%
B-n39-k5.out;0.34s;549.60;549;553;0.10929%;0.0%;0.728597%
B-n41-k6.out;0.48s;831.50;830;839;0.301568%;0.120627%;1.20627%
B-n43-k6.out;0.31s;742.00;742;742;0.0%;0.0%;0.0%
B-n44-k7.out;0.34s;909.00;909;909;0.0%;0.0%;0.0%
B-n45-k5.out;0.35s;751.00;751;751;0.0%;0.0%;0.0%
B-n45-k6.out;0.46s;682.10;678;713;0.60472%;0.0%;5.16224%
B-n50-k7.out;0.32s;741.00;741;741;0.0%;0.0%;0.0%
B-n51-k7.out;0.36s;1016.00;1016;1016;-1.55039%;-1.55039%;-1.55039%
B-n52-k7.out;0.50s;747.10;747;748;0.0133869%;0.0%;0.133869%
B-n56-k7.out;0.54s;707.50;707;710;0.0707214%;0.0%;0.424328%
B-n57-k9.out;0.81s;1602.30;1598;1611;0.269086%;0.0%;0.813517%
B-n63-k10.out;0.71s;1529.20;1506;1543;2.21925%;0.668449%;3.14171%
B-n64-k9.out;0.75s;877.90;863;884;1.96283%;0.232288%;2.67131%
B-n66-k9.out;0.84s;1318.70;1316;1322;0.205167%;0.0%;0.455927%
B-n67-k10.out;1.05s;1041.90;1032;1070;0.959302%;0.0%;3.68217%
B-n68-k9.out;0.87s;1285.40;1277;1288;1.05346%;0.393082%;1.25786%
B-n78-k10.out;1.09s;1226.70;1222;1242;0.46683%;0.0819001%;1.7199%
E-n101-k14.out;1.29s;1083.90;1080;1089;1.58388%;1.21837%;2.06186%
E-n101-k8.out;1.38s;819.90;818;823;0.601227%;0.368098%;0.981595%
E-n22-k4.out;0.19s;375.00;375;375;0.0%;0.0%;0.0%
E-n23-k3.out;0.17s;569.00;569;569;0.0%;0.0%;0.0%
E-n33-k4.out;0.24s;835.00;835;835;0.0%;0.0%;0.0%
E-n51-k5.out;0.38s;522.30;521;528;0.24952%;0.0%;1.34357%
E-n76-k10.out;1.00s;837.70;833;844;0.927711%;0.361446%;1.68675%
E-n76-k14.out;1.15s;1031.10;1024;1037;0.989226%;0.29383%;1.56709%
E-n76-k7.out;0.85s;688.00;685;692;0.879765%;0.439883%;1.46628%
E-n76-k8.out;0.83s;738.80;737;744;0.517007%;0.272109%;1.22449%
M-n101-k10.out;0.84s;820.00;820;820;0.0%;0.0%;0.0%
M-n121-k7.out;2.40s;1035.10;1034;1039;0.106383%;0.0%;0.483559%
M-n151-k12.out;3.29s;1033.10;1022;1043;1.78325%;0.689655%;2.75862%
M-n200-k16.out;5.76s;1308.40;1299;1315;2.70016%;1.96232%;3.21821%
M-n200-k17.out;6.49s;1310.70;1302;1323;2.8%;2.11765%;3.76471%
P-n101-k4.out;1.46s;681.50;681;683;0.0734214%;0.0%;0.293686%
P-n16-k8.out;0.20s;450.00;450;450;0.0%;0.0%;0.0%
P-n19-k2.out;0.15s;212.00;212;212;0.0%;0.0%;0.0%
P-n20-k2.out;0.18s;216.00;216;216;0.0%;0.0%;0.0%
P-n21-k2.out;0.16s;211.00;211;211;0.0%;0.0%;0.0%
P-n22-k2.out;0.16s;216.00;216;216;0.0%;0.0%;0.0%
P-n22-k8.out;0.22s;590.00;590;590;-2.15589%;-2.15589%;-2.15589%
P-n23-k8.out;0.28s;529.00;529;529;0.0%;0.0%;0.0%
P-n40-k5.out;0.26s;458.00;458;458;0.0%;0.0%;0.0%
P-n45-k5.out;0.34s;510.00;510;510;0.0%;0.0%;0.0%
P-n50-k10.out;0.50s;701.80;697;706;0.833333%;0.143678%;1.43678%
P-n50-k7.out;0.43s;556.00;554;561;0.361011%;0.0%;1.26354%
P-n50-k8.out;0.48s;629.70;629;630;-0.206022%;-0.316957%;-0.158479%
P-n51-k10.out;0.48s;747.50;747;748;0.877193%;0.809717%;0.944669%
P-n55-k10.out;0.59s;697.70;695;701;0.533141%;0.144092%;1.00865%
P-n55-k15.out;0.59s;946.30;944;949;-4.31749%;-4.55005%;-4.04449%
P-n55-k7.out;0.53s;572.00;568;576;0.704225%;0.0%;1.40845%
P-n55-k8.out;0.46s;578.50;576;583;-1.61565%;-2.04082%;-0.85034%
P-n60-k10.out;0.63s;747.90;745;753;0.524194%;0.134409%;1.20968%
P-n60-k15.out;0.62s;974.00;968;976;0.619835%;0.0%;0.826446%
P-n65-k10.out;0.63s;802.00;792;809;1.26263%;0.0%;2.14646%
P-n70-k10.out;1.00s;833.80;830;838;0.822249%;0.362757%;1.33011%
P-n76-k4.out;0.91s;594.40;593;600;0.236088%;0.0%;1.18044%
P-n76-k5.out;0.85s;629.00;628;633;0.318979%;0.15949%;0.956938%
X-n101-k25.out;2.06s;28055.33;27966;28136;1.68292%;1.35914%;1.97528%
X-n120-k6.out;2.56s;13599.67;13549;13625;2.0077%;1.62766%;2.19772%
X-n125-k30.out;10.23s;56552.67;56335;56939;1.82514%;1.43323%;2.52075%
X-n134-k13.out;7.40s;11045.33;10979;11102;1.18481%;0.577134%;1.70392%
X-n148-k46.out;6.25s;44081.00;43963;44196;1.45691%;1.18532%;1.7216%
X-n153-k22.out;7.59s;21729.67;21514;21859;2.40182%;1.38549%;3.01131%
X-n186-k15.out;13.39s;24824.33;24580;25037;2.81356%;1.80162%;3.69435%
X-n270-k35.out;27.53s;35850.33;35745;36035;1.58492%;1.28645%;2.10819%
X-n313-k71.out;74.46s;96238.33;95679;97128;2.3333%;1.73855%;3.27932%
X-n336-k84.out;108.70s;141478.00;141091;142157;1.68398%;1.40583%;2.17199%
X-n359-k29.out;56.10s;54046.00;53599;54515;4.9335%;4.06562%;5.84409%
X-n439-k37.out;55.98s;36949.67;36867;36993;1.52402%;1.29688%;1.64308%
X-n459-k26.out;113.99s;24956.67;24825;25098;3.36163%;2.81632%;3.94699%
X-n469-k138.out;189.42s;228545.33;226445;230195;2.99057%;2.04408%;3.73396%
X-n502-k39.out;104.52s;70166.33;69936;70341;1.3525%;1.01979%;1.6048%
X-n599-k92.out;207.66s;114285.33;113413;114789;5.34278%;4.53871%;5.80704%
X-n685-k75.out;353.30s;70258.67;69904;70466;2.92651%;2.40694%;3.23025%
X-n733-k159.out;522.47s;139485.00;139090;139814;2.37431%;2.0844%;2.61578%
